stable_id,source_id,source_name,title,official_url,published_at,freshness_status,change_type,committee
FEED-S-004-83885734c6aa2963,S-004,臺中市議會議事日程,第四屆 第8次定期會 議事日程表(115.07.27修正),https://www.tccc.gov.tw/pic/DocCouncil/17851655792861(1).doc,2026-07-27T00:00:00+08:00,FRESH,CONFIRMED,
FEED-S-006-15fc371de733ced5,S-006,臺中市議會質詢順序表,第四屆 第8次定期會 教育文化委員會業務質詢順序表,https://www.tccc.gov.tw/pic/DocCouncil/17851628782860(1).doc,,FRESH,CONFIRMED,
FEED-S-006-c4e5b5777e317666,S-006,臺中市議會質詢順序表,第四屆 第8次定期會 都發建設水利委員會業務質詢順序表,https://www.tccc.gov.tw/pic/DocCouncil/17876726492859(1).doc,,FRESH,CONFIRMED,
FEED-S-006-2bd572031014ac40,S-006,臺中市議會質詢順序表,第四屆 第8次定期會 警消環衛委員會業務質詢順序表,https://www.tccc.gov.tw/pic/DocCouncil/17851627092858(1).doc,,FRESH,CONFIRMED,
FEED-S-006-4a742226e40aabe0,S-006,臺中市議會質詢順序表,第四屆 第8次定期會 交通地政委員會業務質詢表,https://www.tccc.gov.tw/pic/DocCouncil/17851626392857(1).doc,,FRESH,CONFIRMED,
FEED-S-006-ae1718ff6dee3ac1,S-006,臺中市議會質詢順序表,第四屆 第8次定期會 財政經濟委員會業務質詢順序表,https://www.tccc.gov.tw/pic/DocCouncil/17851625432855(1).doc,,FRESH,CONFIRMED,
FEED-S-006-276408aac5afb767,S-006,臺中市議會質詢順序表,第四屆 第8次定期會 民政委員會業務質詢順序表,https://www.tccc.gov.tw/pic/DocCouncil/17851624952854(1).docx,,FRESH,CONFIRMED,
FEED-S-006-5ff390fd3563fcb9,S-006,臺中市議會質詢順序表,第四屆 第8次定期會 市政總質詢順序表,https://www.tccc.gov.tw/pic/DocCouncil/17875856282853(1).doc,,FRESH,CONFIRMED,
FEED-S-009-648d220802ea2269,S-009,臺中市議會議事資訊系統－各項提案,建請重新整建臺中市政府「警察局」霧峰分局案。,https://yishi.tccc.gov.tw/proposals/7bbd2bb0-20da-48e8-9a01-08dee6e33192,,FRESH,CONFIRMED,
FEED-S-009-27e07b3da0a50cd0,S-009,臺中市議會議事資訊系統－各項提案,建請臺中市政府「警察局」強化毒駕防制作為，加強宣導與預防機制，維,https://yishi.tccc.gov.tw/proposals/584c5a02-de46-4baa-a33a-08dee170c2a2,,FRESH,CONFIRMED,
FEED-S-009-71ab6e496063824a,S-009,臺中市議會議事資訊系統－各項提案,系統建請全面改設後端建置系統，集中設置於「警察局」各分局、或專責機房，以利後續擴,https://yishi.tccc.gov.tw/proposals/215f0dcc-0bea-48c7-5978-08def11e5708,,FRESH,CONFIRMED,
FEED-S-009-bdda93036c7de727,S-009,臺中市議會議事資訊系統－各項提案,建請「警察局」、消防局增加基層同仁健檢補助，將編制內未,https://yishi.tccc.gov.tw/proposals/5812f4c9-7c27-4343-21d3-08dea68abbf3,,FRESH,CONFIRMED,
FEED-S-009-89da833f52d936a0,S-009,臺中市議會議事資訊系統－各項提案,建請臺中市「警察局」針對六寶派出所，確定增加基層警力員額時間,https://yishi.tccc.gov.tw/proposals/a7086c02-a10d-47af-fbfc-08de8871c31e,,FRESH,CONFIRMED,
FEED-S-009-a8974e22904c2f17,S-009,臺中市議會議事資訊系統－各項提案,內政部補助本府「警察局」辦理「大甲分局辦公廳舍公有建築物補強重建,https://yishi.tccc.gov.tw/proposals/50733845-398e-483a-f248-08de09faa5f7,,FRESH,CONFIRMED,
FEED-S-009-59cf0979b9de6549,S-009,臺中市議會議事資訊系統－各項提案,執勤辛勞並維護其健康安全，建請臺中市政府「警察局」應積極研議引進「空調服」等新型,https://yishi.tccc.gov.tw/proposals/34cd50aa-5884-4ae2-f5fe-08de225e92ca,,FRESH,CONFIRMED,
FEED-S-009-1165040930ce690c,S-009,臺中市議會議事資訊系統－各項提案,形成治安及環境管理死角。爰建請臺中市政府「警察局」全面盤點單元五自辦重劃區尚未建,https://yishi.tccc.gov.tw/proposals/7023af16-4688-456a-f8ca-08de1cc538b1,,FRESH,CONFIRMED,
