source_id,source_name,date,date_basis,date_raw,item_id,title,agency_or_actor,relevance,source_url,evidence_note,fetched_at
S-005,內政部警政署警政新聞,2026-08-11,official_post_date,2026-08-11T10:00,1,溯源斬斷黑幫毒品供應鏈 刑事局破獲「喪屍煙彈」加工分裝場,刑事警察局公共關係室,CONTEXT_ONLY,https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/00F7F1C4-2AC0-461C-B060-A6FCD3FF6E45/resource/56729325-2465-4C6D-AC36-F7628CAB29B6/download,官方 CSV；serialNo 為原始識別。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-11,official_meeting_date,2026-08-11,14398,第4屆第8次定期會 業務質詢：民政部分,林昊佑,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14398&pageno=1,官方個別影音；片長 00:15。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-11,official_meeting_date,2026-08-11,14399,第4屆第8次定期會 業務質詢：民政部分,曾朝榮,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14399&pageno=1,官方個別影音；片長 00:15。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-11,official_meeting_date,2026-08-11,14400,第4屆第8次定期會 業務質詢：民政部分(謝志忠、王立任等議員聯合質詢),謝志忠,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14400&pageno=1,官方個別影音；片長 00:15。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-11,official_meeting_date,2026-08-11,14401,第4屆第8次定期會 業務質詢：民政部分(謝志忠、王立任等議員聯合質詢),王立任,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14401&pageno=1,官方個別影音；片長 00:15。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-11,official_meeting_date,2026-08-11,14402,第4屆第8次定期會 業務質詢：民政部分(張芬郁、謝家宜、陳雅惠等議員聯合質詢),張芬郁,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14402&pageno=1,官方個別影音；片長 00:15。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-11,official_meeting_date,2026-08-11,14403,第4屆第8次定期會 業務質詢：民政部分(張芬郁、謝家宜、陳雅惠等議員聯合質詢),謝家宜,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14403&pageno=1,官方個別影音；片長 00:15。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-11,official_meeting_date,2026-08-11,14404,第4屆第8次定期會 業務質詢：民政部分(張芬郁、謝家宜、陳雅惠等議員聯合質詢),陳雅惠,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14404&pageno=1,官方個別影音；片長 00:15。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-11,official_meeting_date,2026-08-11,14405,第4屆第8次定期會 業務質詢：民政部分,鄭功進,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14405&pageno=1,官方個別影音；片長 00:15。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-11,official_meeting_date,2026-08-11,14406,第4屆第8次定期會 業務質詢：民政部分,黃馨慧,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14406&pageno=1,官方個別影音；片長 00:15。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-11,official_meeting_date,2026-08-11,14407,第4屆第8次定期會 業務質詢：民政部分,李天生,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14407&pageno=1,官方個別影音；片長 00:15。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-11,official_meeting_date,2026-08-11,14408,第4屆第8次定期會 業務質詢：民政部分,江和樹,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14408&pageno=1,官方個別影音；片長 00:15。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-11,official_meeting_date,2026-08-11,14409,第4屆第8次定期會 業務質詢：民政部分,陳文政,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14409&pageno=1,官方個別影音；片長 00:15。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-11,official_meeting_date,2026-08-11,14410,第4屆第8次定期會 業務質詢：民政部分,劉士州,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14410&pageno=1,官方個別影音；片長 00:15。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-11,official_meeting_date,2026-08-11,14411,第4屆第8次定期會 業務質詢：民政部分(謝志忠、黃守達等議員聯合質詢),謝志忠,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14411&pageno=1,官方個別影音；片長 00:15。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-11,official_meeting_date,2026-08-11,14412,第4屆第8次定期會 業務質詢：民政部分(謝志忠、黃守達等議員聯合質詢),黃守達,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14412&pageno=1,官方個別影音；片長 00:15。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-11,official_meeting_date,2026-08-11,14413,第4屆第8次定期會 業務質詢：民政部分(周永鴻、張家銨等議員聯合質詢),周永鴻,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14413&pageno=1,官方個別影音；片長 00:15。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-11,official_meeting_date,2026-08-11,14414,第4屆第8次定期會 業務質詢：民政部分(周永鴻、張家銨等議員聯合質詢),張家銨,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14414&pageno=1,官方個別影音；片長 00:15。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-11,official_meeting_date,2026-08-11,14415,第4屆第8次定期會 業務質詢：民政部分,賴義鍠,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14415&pageno=1,官方個別影音；片長 00:15。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-11,official_meeting_date,2026-08-11,14416,第4屆第8次定期會 業務質詢：民政部分(陳本添、林碧秀等議員聯合質詢),陳本添,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14416&pageno=1,官方個別影音；片長 00:30。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-11,official_meeting_date,2026-08-11,14417,第4屆第8次定期會 業務質詢：民政部分(陳本添、林碧秀等議員聯合質詢),林碧秀,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14417&pageno=1,官方個別影音；片長 00:30。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-11,official_meeting_date,2026-08-11,14418,第4屆第8次定期會 業務質詢：民政部分,朱元宏,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14418&pageno=1,官方個別影音；片長 00:15。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-11,official_meeting_date,2026-08-11,14419,第4屆第8次定期會 業務質詢：民政部分(張廖乃綸、李文傑等議員聯合質詢),張廖乃綸,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14419&pageno=1,官方個別影音；片長 00:30。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-11,official_meeting_date,2026-08-11,14420,第4屆第8次定期會 業務質詢：民政部分(張廖乃綸、李文傑等議員聯合質詢),李文傑,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14420&pageno=1,官方個別影音；片長 00:30。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-11,official_meeting_date,2026-08-11,14421,第4屆第8次定期會 業務質詢：民政部分,林孟令,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14421&pageno=1,官方個別影音；片長 00:15。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-12,official_meeting_date,2026-08-12,14422,第4屆第8次定期會 業務質詢：民政部分,朱暖英,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14422&pageno=1,官方個別影音；片長 00:15。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-12,official_meeting_date,2026-08-12,14423,第4屆第8次定期會 業務質詢：民政部分,王立任,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14423&pageno=1,官方個別影音；片長 00:15。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-12,official_meeting_date,2026-08-12,14424,第4屆第8次定期會 業務質詢：民政部分,徐瑄灃,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14424&pageno=1,官方個別影音；片長 00:15。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-12,official_meeting_date,2026-08-12,14425,第4屆第8次定期會 業務質詢：民政部分,張玉嬿,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14425&pageno=1,官方個別影音；片長 00:15。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-12,official_meeting_date,2026-08-12,14426,第4屆第8次定期會 業務質詢：民政部分(施志昌、林祈烽等議員聯合質詢),施志昌,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14426&pageno=1,官方個別影音；片長 00:15。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-12,official_meeting_date,2026-08-12,14427,第4屆第8次定期會 業務質詢：民政部分(施志昌、林祈烽等議員聯合質詢),林祈烽,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14427&pageno=1,官方個別影音；片長 00:15。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-12,official_meeting_date,2026-08-12,14428,第4屆第8次定期會 業務質詢：民政部分,古秀英,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14428&pageno=1,官方個別影音；片長 00:15。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-12,official_meeting_date,2026-08-12,14429,第4屆第8次定期會 業務質詢：民政部分,楊大鋐,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14429&pageno=1,官方個別影音；片長 00:15。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-12,official_meeting_date,2026-08-12,14430,第4屆第8次定期會 業務質詢：民政部分(陳文政、黃佳恬、邱愛珊等議員聯合質詢),陳文政,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14430&pageno=1,官方個別影音；片長 00:30。,2026-08-14T01:42:42+08:00
S-010,臺中市議會議員質詢影音,2026-08-12,official_meeting_date,2026-08-12,14431,第4屆第8次定期會 業務質詢：民政部分(陳文政、黃佳恬、邱愛珊等議員聯合質詢),黃佳恬,PREP_CONTEXT_NOT_POLICE_SPECIFIC,https://vod.tccc.gov.tw/wb_news02.asp?url=92&ano=14431&pageno=1,官方個別影音；片長 00:30。,2026-08-14T01:42:42+08:00
