source_id,source_name,source_health,window_completeness,window_start,window_end,item_count,evidence_note,audit_cutoff
S-001,臺中市政府警察局警政新聞,DEGRADED,COMPLETE_WITH_ITEMS,2026-08-08,2026-08-14,1,"10:15 針對性 canary：完整 347 筆、窗口 1 筆；後續密集重建遭連線重設，逐筆 CSV 待低頻重建。",2026-08-14T10:15:20+08:00
S-004,臺中市議會議事日程,PASS,COMPLETE_ZERO,2026-08-08,2026-08-14,0,"01:42 快照：最新議程版本為 2026-07-27 修正。",2026-08-14T10:15:20+08:00
S-005,內政部警政署警政新聞,PASS,COMPLETE_WITH_ITEMS,2026-08-08,2026-08-14,1,"01:42 快照：官方 CSV 全檔依 postDate 篩選。",2026-08-14T10:15:20+08:00
S-006,臺中市議會質詢順序表,PASS,COMPLETE_ZERO,2026-08-08,2026-08-14,0,"01:42 快照：警消環衛順序表為 2026-08-04 第 8 次修正。",2026-08-14T10:15:20+08:00
S-007,臺中市議會議事資訊系統－議事錄,PASS,COMPLETE_ZERO,2026-08-08,2026-08-14,0,"01:42 快照：FrontList 最新會議日為 2026-05-05。",2026-08-14T10:15:20+08:00
S-008,臺中市議會議事資訊系統－舊議事錄查詢,PASS,UNVERIFIED_DATE,2026-08-08,2026-08-14,0,"歷史 API 無發布時間，0 不代表窗口完整。",2026-08-14T10:15:20+08:00
S-009,臺中市議會議事資訊系統－各項提案,PASS,UNVERIFIED_DATE,2026-08-08,2026-08-14,0,"3 件本會期警察類提案無可用事件日期，未計入。",2026-08-14T10:15:20+08:00
S-010,臺中市議會議員質詢影音,PASS,COMPLETE_WITH_ITEMS,2026-08-08,2026-08-14,69,"01:42 快照：官方詳細頁掃描 ano=14390..14466。",2026-08-14T10:15:20+08:00
S-011,臺中市議會議事影音,PASS,COMPLETE_WITH_ITEMS,2026-08-08,2026-08-14,1,"01:42 快照：官方列表依會議日期逐筆。",2026-08-14T10:15:20+08:00
S-012,臺中市議會舊站會議紀錄,PASS,UNVERIFIED_DATE,2026-08-08,2026-08-14,0,"舊站附件沒有可用發布日，0 不代表窗口完整。",2026-08-14T10:15:20+08:00
S-013,立法院會議資訊與議事日程原始檔,PASS,PARTIAL,2026-08-08,2026-08-14,18,"ID42 的 18 筆會議日期可列舉；ID25 無可獨立篩選日期欄。",2026-08-14T10:15:20+08:00
S-014,立法院議案與三讀通過條文／附帶決議,PASS,UNVERIFIED_DATE,2026-08-08,2026-08-14,0,"ID20／ID373 無狀態變更時間。",2026-08-14T10:15:20+08:00
S-015,立法院議事暨公報資訊網－會議與機關回覆,DEGRADED,PARTIAL,2026-08-08,2026-08-14,41,"10:10 重跑：18 頁中 15 成功、2 無 meetingNo、2026080771 固定 HTTP 400。",2026-08-14T10:15:20+08:00
S-016,行政院質詢案件查詢系統,PASS,COMPLETE_WITH_ITEMS,2026-08-08,2026-08-14,1,"01:42 快照：窗口可列舉；第 8 屆歷史範圍另屬整體限制。",2026-08-14T10:15:20+08:00
S-017,行政院公報資訊網開放資料,PASS,COMPLETE_WITH_ITEMS,2026-08-08,2026-08-14,50,"01:42 快照：窗口內每日 ZIP／XML 已逐筆列出。",2026-08-14T10:15:20+08:00
S-018,全國法規資料庫 OpenAPI,PASS,COMPLETE_ZERO,2026-08-08,2026-08-14,0,"01:42 快照：全量 1,346 部中央法規依 LawModifiedDate 篩選。",2026-08-14T10:15:20+08:00
S-019,臺中市政府市政會議紀錄與專案報告,PASS,COMPLETE_WITH_ITEMS,2026-08-08,2026-08-14,3,"01:42 快照：會議紀錄與專案報告兩個官方列表逐筆篩選。",2026-08-14T10:15:20+08:00
S-020,臺中市政府業務工作報告,PASS,COMPLETE_ZERO,2026-08-08,2026-08-14,0,"01:42 快照：列表最新版本為 2026-07-20。",2026-08-14T10:15:20+08:00
S-021,臺中市政府警察局施政計畫、預算與採購專區,DEGRADED,COMPLETE_WITH_ITEMS,2026-08-08,2026-08-14,6,"10:15 針對性 canary：預算 64 筆、契約 67 筆、窗口 6 筆；附件通過，逐筆 CSV 待低頻重建。",2026-08-14T10:15:20+08:00
S-022,臺中市政府主計處總預算,PASS,COMPLETE_ZERO,2026-08-08,2026-08-14,0,"01:42 快照：116 年度總預算案目前版本為 2026-07-14。",2026-08-14T10:15:20+08:00
S-023,政府電子採購網,PASS,COMPLETE_ZERO,2026-08-08,2026-08-14,0,"01:42 快照：本局與 21 所屬單位三面查詢皆為 0。",2026-08-14T10:15:20+08:00
S-024,臺中市政府工程進度查詢系統,PASS,UNVERIFIED_DATE,2026-08-08,2026-08-14,0,"查得 7 個 115 年工程現況，但只有 115/7 進度而無更新日。",2026-08-14T10:15:20+08:00
S-025,立法院中央政府總預算與預算決議辦理情形,PASS,PARTIAL,2026-08-08,2026-08-14,0,"立法院列表無窗口內發布項目；PPG 預算入口無逐項發布時間。",2026-08-14T10:15:20+08:00
